,Company_Name,Location,Package,Website,Focus Area
39,Genpact,: Hyderabad,": INR 14,70,000",Website: https://gramener.com/,":Aerospace, Building Technologies, Automation, Safety & Productivity Solutions"
40,Gramener ,: Noida,": INR 15,15,000",Website: https://www.hcltech.com/,": Busines Process Services, Design & Business Strategy, Hybrid Multi cloud Services, Talent & Transformation, Security Services, IoT Consulting, Business Process Outsourcing, Automation, and AI Services"
41,HCL Technologies,: Many locations,": INR 9,00,000",Website: https://hexaware.com/,: Internet
42,Hexaware Technologies Ltd,: Gurugram,": INR 4,140,000 – 4,960,000",Website: https://www.honeywell.com/us/en,: Banks & Building Society
43,Honeywell,: Bengaluru,: Not disclosed,Website: https://www8.hp.com/in/en/home.html,": AI-driven Logistics Solutions, Savings costs on shipments, Real-time tracking, intelligent document management, Business solutions for Customs Brokers, Technology for customs clearance"
44,HP,: Bengaluru,: Not Disclosed,Website: https://www.ibm.com/in-en,":Audit and Assurance, Tax & Legal, Advisory, Private Enterprise"
45,IBM,: Hyderabad,": INR 5,50,000",Website: www.in.indeed.com,": Business Analytics, Consulting Services, Data Engineering, Marketing Analytics, Risk and Compliance analytics, Big Data, Predictive Analytics"
46,Indeed,: Bangalore,: Not Disclosed,Website: https://www.jpmorgan.com/global,": Eyewear, Sunglasses, Contact Lenses, Opticals, Home eye test with trials"
47,JP Morgan Chase Bank,: Gurugram,": INR 24,91,000",Website: https://www.klearnow.com/,": AI-driven Prescriptive Analytics, Retail Analytics, Customer Analytics, Location-based Marketing, Predictive Analytics, Algorithmic Customer Experience, Merchandise Analytics"
48,KlearNow,: Pan-India,": INR 12,31,106",Website: https://home.kpmg/xx/en/home.html,: Financial Transaction Processing
49,KPMG,": Bengaluru, Chennai",: Not disclosed,Website: https://www.latentview.com/,: Consulting
50,Latentview,: Faridabad,: Not disclosed,Website: https://www.lenskart.com/,: Vehicle Dealership
51,Lenskart,: Bengaluru,: Not disclosed,Website: https://www.linkedin.com/,": Sector: Information Technology & Services, Analytics,"
52,LinkedIn,: Bengaluru,": INR 18,58,000",Website: https://www.manthan.com/,": Fashion Etailer, M-Commerce, E-Commerce, Try and Buy, Omnichannel, Largest Current Season Product Catalog, Fashion labels and brands, Myntra Brand"
53,Manthan,: Gurugram,": INR 12,81,000",Website: https://www.mastercard.co.in/en-in.html,": Financial crime, Anti- Money Laundering, Trade Surveillance, Authentication Management, Case Management, Enterprise Consulting and Advisory Management"
54,MasterCard,: Gurugram,": INR 5,73,913",Website: https://www.mckinsey.com/,": Advertising, Consulting, Information services, Market Research"
55,McKinsey & Company,: Bangalore,": INR 26,00,000",Website: www.mercedes-benz.com,: Biotech & Pharmaceutical
56,Mercedez Benz,: Multiple locations,": INR 27,14,000",Website: https://www.microsoft.com/en-in,": Cab Services, Ride Sharing, Mobility Solutions, Rental Services, Fleet Management Business"
57,Microsoft,: Bengaluru,": INR10,20,000",Website: https://www.mindtree.com/,": Personalised healthcare, Pharma services, healthcare financial services, business services and technology"
58,Mindtree,: Bengaluru,": INR 7,00,087",Website: https://www.mu-sigma.com/,": Cloud, Compute, Storage, Networking, Analytics, Application development, Cloud Database Services, Content management, Integration, Observability and Management, Security, Identity and Compliance, Cloud marketplace, Software, Hardware, Autonomous database."
59,Mu Sigma ,: Bengaluru,: Not disclosed,Website: https://www.myntra.com/,": Mobile payments, Fintech"
60,Myntra,: Bengaluru,": INR 16,20,000",Website: https://www.netapp.com/,: Computer Hardware & Software
61,NetApp,": Bangalore, Mumbai, New Delhi",": INR 13,33,044",Website: https://www.niceactimize.com/,": Business Development, CRM"
62,NICE Actimize,: Bengaluru,": INR 13,60,000",Website: http://www.nielsen.com/,: Hospital & Health Care
63,Nielsen,: Hyderabad,: Not disclosed,Website: www.novartis.com,": Internet, Social Media"
64,Novartis ,: Bengaluru,: Not disclosed,Website: https://www.olacabs.com/,": Consulting, Outsourcing"
65,Ola ,: Bengaluru,": INR 5,60,325",Website: https://www.optum.com/,": Retail, telecom, consumer products, energy"
66,Optum,: Hyderabad,: Not Disclosed,Website: https://www.oracle.com/index.html,": Computer, Finance, Software"
67,Oracle,: Chennai,: Not disclosed,Website: https://www.paypal.com/in/home,": Downstream, Bio-Fuels, Integrated Gas, New Energies, Chemicals, Energy, and Upstream"
68,Paypal India Pvt Ltd,: Jaipur,": INR 7,30,000",Website: https://www.peak.net/,: CMMI Level 3
69,Peak ,": Bangalore, Hyderabad, Mumbai",: Not disclosed,Website: https://www.pega.com/,": Human Resources, Recruiting, Talent Management"
70,Pegasystems Worldwide India Pvt. Ltd.,: Bangalore,": INR 14,36,000",Website: https://www.philips.co.in/,": Consumer Electronics, Software, Hardware"
71,Philips ,: Hyderabad,": INR 12,09,206-26,45,481",Website: https://in.pinterest.com/,: Financial Analytics & Research
72,Pinterest,: Mumbai,: Not disclosed,Website: https://www.quest-global.com/,": Consulting, Professional Services, Information Technology"
73,Quest Global,: Mumbai,": INR 12,87,000",Website: https://www.ril.com/,": SAAS & Cloud, Business Intelligence, Enterprise Mobility, DevOps, User Experience, Microsoft Dynamics, Office 365, Microsoft Azure, Robotic Process Automation, Snowflakes, Denodo, Birst, Semarchy, Oracle Cloud, Business Process Automation, Saketa, and .Net Core"
74,Reliance,": Chennai, Bengaluru",": INR 9,26,000",Website: https://www.sap.com/india/index.html,": Management Consulting, Supply Chain Consulting, IT Consulting, Operations Consulting, Demand Planning, Logistics & Warehousing"
